"","country","country_lat","country_long"
"Azerbaijan","Azerbaijan",39.993413386576,47.6706402587977
"Russia","Russia",53.3618094151338,63.0001764728568
"Cote d'Ivoire","Cote d'Ivoire",5.261390209198,-3.9262900352478
"Ghana","Ghana",5.60518980026245,-0.166786000132561
"Mali","Mali",12.5335,-7.94994
"Burkina Faso","Burkina Faso",11.7566499916076,-2.92169490524292
"Benin","Benin",6.3572301864624,2.38435006141663
"Senegal","Senegal",14.7397003173828,-17.4902000427246
"Togo","Togo",6.16560983657837,1.25451004505157
"Niger","Niger",13.4815,2.18361
"Colombia","Colombia",7.264447,-75.51588
"Ecuador","Ecuador",-0.436022521390749,-79.2892335001505
"Italy","Italy",42.58076824375,11.843960028125
"France","France",45.0246392547006,1.40193659223621
"United Kingdom","United Kingdom",53.1967739053221,-2.32810354431411
"Switzerland","Switzerland",47.0254746004828,7.92901002929801
"Cyprus","Cyprus",34.9159329732259,33.2022336324056
"Spain","Spain",37.6569008717284,-5.22960711619767
"Egypt","Egypt",27.1974420844287,32.4623861297696
"Sweden","Sweden",59.8362806167888,16.2899266910759
"Finland","Finland",61.6068376944275,23.4737803978883
"Norway","Norway",61.9582707593459,9.53627765708203
"United Arab Emirates","United Arab Emirates",24.8344912317397,55.2606576217776
"Philippines","Philippines",11.3403081925746,122.119050733793
"Gambia","Gambia",13.3380002975464,-16.6522006988525
"Guinea","Guinea",9.57689,-13.612
"Cameroon","Cameroon",6.10538494586838,12.0505199432368
"Sierra Leone","Sierra Leone",8.61644,-13.1955
"Nigeria","Nigeria",8.52650754871368,6.66772751596451
"Guinea-Bissau","Guinea-Bissau",11.8948001861572,-15.6536998748779
"Liberia","Liberia",6.2614250579071,-10.5605001853943
"Djibouti","Djibouti",11.5473003387451,43.1595001220703
"Somalia","Somalia",7.17566013336091,45.447324752815
"Kenya","Kenya",-1.23563751787138,38.3570996554071
"Thailand","Thailand",12.0154131045036,99.6770214326166
"Australia","Australia",-27.0812887232032,139.155336148297
"China","China",32.4021756361263,115.014805053932
"Hong Kong","Hong Kong",22.308901,113.915001
"Japan","Japan",35.480939593905,135.388333554348
"Malaysia","Malaysia",4.32765862303161,106.197113534472
"Cambodia","Cambodia",12.4786500930984,104.32850265501
"Burma","Burma",19.4110006283377,96.1040317477143
"Vietnam","Vietnam",15.7639402389382,107.109599304224
"Singapore","Singapore",1.35019,103.994003
"Taiwan","Taiwan",23.9937334625244,120.930000353678
"Germany","Germany",51.0680854302642,9.59830768645766
"Austria","Austria",47.5051003494529,14.1471333915723
"Croatia","Croatia",44.5035143896152,16.1834857530818
"Bahamas","Bahamas",25.4377553480419,-77.0353121483884
"United States","United States",35.5521415310429,-96.2675068569737
"Netherlands","Netherlands",51.94940106612,5.385043991088
"Belgium","Belgium",50.8772606270421,4.34079599577196
"Morocco","Morocco",33.111769634905,-6.42290099482788
"Turkey","Turkey",38.5693109916571,32.3292164024215
"Aruba","Aruba",12.5014,-70.015198
"Netherlands Antilles","Netherlands Antilles",15.001475097272,-65.8893004163103
"Venezuela","Venezuela",10.305612674678,-67.1971019477576
"Uzbekistan","Uzbekistan",40.283154574303,66.8192090121268
"Montenegro","Montenegro",42.3820516164551,18.9876004669189
"Antigua and Barbuda","Antigua and Barbuda",17.1367,-61.792702
"French Guiana","French Guiana",4.81980991364,-52.3604011536
"Dominica","Dominica",15.547,-61.299999
"Martinique","Martinique",14.5909996032715,-61.0032005310059
"Guadeloupe","Guadeloupe",17.182600145996,-62.289499124634
"Dominican Republic","Dominican Republic",18.9216145106721,-69.6923424856933
"Saint Lucia","Saint Lucia",13.8767,-60.97275
"South Korea","South Korea",36.1730980831561,127.484858394343
"Northern Mariana Islands","Northern Mariana Islands",14.6466500968933,145.48600010791
"Canada","Canada",47.9675472220417,-91.3535573778923
"Israel","Israel",30.9758491516113,34.9112491607666
"India","India",18.644952113848,78.7361313433521
"Bangladesh","Bangladesh",23.6853820240885,91.3592941624349
"Saudi Arabia","Saudi Arabia",24.447345493017,42.5624129106623
"Nepal","Nepal",27.6966,85.3591
"Oman","Oman",20.3159999847413,56.1878509521485
"Argentina","Argentina",-36.3415333952167,-63.3416500142333
"Mexico","Mexico",21.4906428521485,-100.565648348481
"Guatemala","Guatemala",15.74854964295,-90.1969488362
"Cuba","Cuba",21.8461256027225,-79.2075519561728
"Costa Rica","Costa Rica",10.2935801223755,-84.8766021347656
"Afghanistan","Afghanistan",34.2471499704895,66.1245259834595
"Pakistan","Pakistan",29.6852245624433,69.5251458625966
"Serbia","Serbia",43.69560066835,20.6724500987
"Macedonia","Macedonia",41.961601,21.621401
"Algeria","Algeria",35.6137282835957,4.13520283037699
"Greece","Greece",37.7569901399192,24.047176165917
"Hungary","Hungary",47.4593296154785,20.4381961124268
"Ireland","Ireland",53.0410287546736,-8.20803274108887
"Portugal","Portugal",37.49657985128,-13.651124107728
"Poland","Poland",51.9183531135486,19.1158643834889
"Czech Republic","Czech Republic",49.8329598352051,15.5438199539185
"Bosnia and Herzegovina","Bosnia and Herzegovina",44.1268997192383,18.0499248504639
"Tunisia","Tunisia",35.2029388211263,10.1662618268229
"Panama","Panama",8.93440310160339,-81.3564325968399
"Nicaragua","Nicaragua",12.1415004730225,-86.1681976318359
"South Sudan","South Sudan",4.87201023102,31.6011009216
"Tanzania","Tanzania",-4.74350748416802,37.10867503711
"Brunei","Brunei",4.94420003890991,114.928001403809
"Indonesia","Indonesia",-3.24298245831347,110.241097441518
"Macau","Macau",22.149599,113.592003
"Saint Kitts and Nevis","Saint Kitts and Nevis",17.2584495544434,-62.6543006896973
"Paraguay","Paraguay",-25.3472578855591,-56.1813412288818
"Brazil","Brazil",-16.5691547132007,-45.8544266362467
"Uruguay","Uruguay",-34.8467503621826,-55.5625496582031
"Chile","Chile",-29.3147673865525,-77.0045814152311
"Belize","Belize",17.5391006469727,-88.3081970214844
"Honduras","Honduras",15.3931996836243,-87.1292000582276
"Georgia","Georgia",41.8187332153,43.0123341878333
"Armenia","Armenia",40.4488506317,44.1275997162
"Latvia","Latvia",56.9235992431641,23.9710998535156
"Guam","Guam",13.4834003448,144.796005249
"Jamaica","Jamaica",18.2196998596191,-77.3504486083984
"Haiti","Haiti",19.156499961853,-72.2436026784668
"Suriname","Suriname",5.4528298378,-55.1878013611
"Trinidad and Tobago","Trinidad and Tobago",10.8725500106812,-61.0846996307373
"Kazakhstan","Kazakhstan",48.2715251173299,67.9547821440633
"Tajikistan","Tajikistan",38.6533002853488,69.297349929799
"Kyrgyzstan","Kyrgyzstan",41.83514976505,73.63544845585
"Iran","Iran",31.8220566379409,52.847743949136
"Ukraine","Ukraine",48.1993249393176,32.4168292234213
"Jordan","Jordan",30.6671009063773,35.5056495666627
"Libya","Libya",32.094700610352,19.1789601196279
"Anguilla","Anguilla",18.2048,-63.055099
"British Virgin Islands","British Virgin Islands",18.4455995559692,-64.4852485656738
"Puerto Rico","Puerto Rico",18.2646002769265,-66.2792263030959
"Virgin Islands","Virgin Islands",18.0195999145507,-64.8859977722168
"Moldova","Moldova",46.9277000427246,28.9309997558594
"Romania","Romania",45.7172124007324,24.5413774871826
"Bahrain","Bahrain",26.2707996368408,50.6335983276367
"Sri Lanka","Sri Lanka",6.7326134533844,80.5041149338379
"Qatar","Qatar",25.273056,51.608056
"South Africa","South Africa",-28.775411481125,27.2682556021
"Kuwait","Kuwait",29.2266006469727,47.9688987731934
"Denmark","Denmark",56.0553720448378,10.1658847729538
"Bulgaria","Bulgaria",42.6415481430054,25.9006339355469
"Albania","Albania",41.4146995544,19.7206001282
"New Zealand","New Zealand",-42.5547798156873,172.213198852508
"Bermuda","Bermuda",32.3639984130859,-64.6787033081055
"Barbados","Barbados",13.0746002197,-59.4925003052
"Uganda","Uganda",0.042386,32.443501
"Cayman Islands","Cayman Islands",19.4899005889791,-80.6202468872054
"Gibraltar","Gibraltar",36.1511993408,-5.34965991974
"Grenada","Grenada",12.0041999816895,-61.7862014770508
"Peru","Peru",-11.4208601270652,-73.4862502764881
"Luxembourg","Luxembourg",49.6233333,6.2044444
"Fiji","Fiji",-17.8993501663208,178.000999450683
"Turks and Caicos Islands","Turks and Caicos Islands",21.7735996246338,-72.2658996582031
"French Polynesia","French Polynesia",-17.553699,-149.606995
"El Salvador","El Salvador",13.4409,-89.055702
"Bolivia","Bolivia",-17.1930668528239,-65.834933008138
"Guernsey","Guernsey",49.5705526866455,-2.40834497867584
"Jersey","Jersey",49.2079010009766,-2.1955099105835
"Malta","Malta",35.857498,14.4775
"Ethiopia","Ethiopia",9.30129480362017,40.3267498016553
"Burundi","Burundi",-3.32401990890503,29.3185005187988
"Congo (Kinshasa)","Congo (Kinshasa)",-7.98852500535,21.48774952395
"Rwanda","Rwanda",-1.96863,30.1395
"Angola","Angola",-11.8915348916626,13.4030999046325
"Lithuania","Lithuania",55.1904017571615,23.4881674669189
"Lebanon","Lebanon",33.8208999633789,35.4883995056152
"Central African Republic","Central African Republic",4.39847993850708,18.5188007354736
"Congo (Brazzaville)","Congo (Brazzaville)",-4.53386497497559,13.5697999000549
"Mayotte","Mayotte",-12.8046998977661,45.2811012268066
"Comoros","Comoros",-11.5337,43.2719
"Zimbabwe","Zimbabwe",-18.6817005273031,28.5165672339681
"Gabon","Gabon",-0.126569494605147,9.08333015441763
"Slovenia","Slovenia",46.223701,14.4576
"Malawi","Malawi",-14.7342500686606,34.3774986267187
"Laos","Laos",17.3935754299198,103.816251754751
"Zambia","Zambia",-15.3835668563985,27.6467336018794
"Mauritius","Mauritius",-20.430201,57.683601
"Chad","Chad",12.1337,15.034
"Mauritania","Mauritania",20.6664996337891,-15.1611075164754
"Palau","Palau",7.36731,134.544236
"Reunion","Reunion",-21.1040000915527,55.4676494598389
"Equatorial Guinea","Equatorial Guinea",2.83037000894547,9.25720024108887
"Madagascar","Madagascar",-15.8881072141337,48.4408057985333
"Maldives","Maldives",3.41423931726074,73.2850674065755
"Western Sahara","Western Sahara",25.4349995,-14.5756
"Cape Verde","Cape Verde",16.158900081253,-23.5967750679016
"Iceland","Iceland",64.057498931876,-22.273099899278
"Belarus","Belarus",53.882499694824,28.030700683594
"Estonia","Estonia",58.8603992462,25.7615995407
"Sudan","Sudan",17.511549949646,34.8936500549317
"Seychelles","Seychelles",-4.67434,55.521801
"Turkmenistan","Turkmenistan",37.986801,58.361
"Isle of Man","Isle of Man",54.0833015441895,-4.6238899230957
"Namibia","Namibia",-22.7299,16.0581
"Botswana","Botswana",-20.8800750836792,25.4965501983643
"Guyana","Guyana",6.65241496910095,-58.1800003997802
"North Korea","North Korea",39.224098,125.669998
"Mongolia","Mongolia",47.989401112915,110.706500861572
"Papua New Guinea","Papua New Guinea",-6.89192008972248,149.800003051851
"Slovakia","Slovakia",48.4166507720947,19.226900100708
"Sao Tome and Principe","Sao Tome and Principe",0.378174990415573,6.71215009689331
"Iraq","Iraq",33.984433760424,44.7880594261473
"Yemen","Yemen",14.5622499783876,45.7545331319105
"Mozambique","Mozambique",-19.4020230064697,35.9497167949916
"Samoa","Samoa",-13.8299999237061,-172.007995605469
"Kiribati","Kiribati",1.68389999866486,7.89849853515601
"Tuvalu","Tuvalu",-8.525,179.195999
"Solomon Islands","Solomon Islands",-9.4280004501343,160.05499267578
"Tonga","Tonga",-21.2411994934082,-175.149993896484
"Vanuatu","Vanuatu",-16.6021504401955,167.77000427261
"Greenland","Greenland",65.6015623046,-51.1948518753
"Cook Islands","Cook Islands",-21.2026996613,-159.805999756
"American Samoa","American Samoa",-14.3310003281,-170.710006714
"Eritrea","Eritrea",15.2918996810913,38.910701751709
"Bhutan","Bhutan",27.4032001495,89.4245986938
"Falkland Islands","Falkland Islands",-51.8227996826172,-58.4472007751465
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",13.156695,-61.149945
"East Timor","East Timor",-8.54640007019,125.526000977
"New Caledonia","New Caledonia",-22.0146007537842,166.212997436523
"Niue","Niue",-19.0790309906006,-169.925598144531
"Norfolk Island","Norfolk Island",-29.0415992736816,167.938995361328
"Nauru","Nauru",-0.547458,166.919006
"Marshall Islands","Marshall Islands",7.89244031906128,169.501998901367
"Saint Pierre and Miquelon","Saint Pierre and Miquelon",46.7629013061523,-56.1730995178223
"Faroe Islands","Faroe Islands",62.0635986328125,-7.27721977233887
"Lesotho","Lesotho",-29.4622993469238,27.5524997711182
"Swaziland","Swaziland",-26.5289993286133,31.3075008392334
"Wallis and Futuna","Wallis and Futuna",-13.2383003235,-176.199005127
"Micronesia","Micronesia",7.32571499649048,152.773246988281
"Cocos (Keeling) Islands","Cocos (Keeling) Islands",-12.1883001328,96.8339004517
"Christmas Island","Christmas Island",-10.4505996704102,105.690002441406
